# manifest dibuat ulang 2026-09-25T22:15:14Z — dihasilkan oleh universe/write_universe_manifest.py, jangan disunting manual
# dataset sumber: bsc-universe.jsonl (60 snapshot)
# kolom sha256 = hash kanonik snapshot pada saat pengambilan, bukan hash baris ini
# kolom gap_since_prev_h = jam sejak snapshot SEBELUMNYA di file; >1,5 berarti rekaman berhenti
snapshot_utc	schema	universe	lolos	dinilai_penuh	pool_berharga	gap_since_prev_h	gdelt_lines	sha256_snapshot
2026-09-23T09:33:46Z	3	140	15	1	40	0.56	-	0x23b9723db01e98b9bf3a6f64e920a13540e7078f4ba5f8b0f67ba5e59dce7516
2026-09-23T10:33:04Z	3	140	16	2	40	0.99	-	0x2d690a01325866dc23444200d858c61d20ec149869c74e435980000ca15a0af3
2026-09-24T02:15:24Z	3	140	14	2	40	15.71	-	0x307b9e49fa7743775687f9cf1e29934f0a322392f79a77ef2973239bf671548c
2026-09-24T02:20:39Z	4	140	14	2	40	0.09	602	0x0af7f26beaff9714b70bb6f275aa359a3bfe11f4f5ecdf5a3b0d7156198b5300
2026-09-24T02:29:08Z	4	140	14	2	40	0.14	602	0xa8558cbae3d0f00cbb36f20c3abe788e83302f83b7cde0c654dd31e275d35c77
2026-09-24T02:33:04Z	4	140	14	2	40	0.07	602	0xd3b92553915d5e32385a0da9ba19e236fafc5f7e57622860a4a97577270d8e08
2026-09-24T03:33:04Z	4	140	15	2	40	1.00	628	0xa4a2ff9dafbf4414199f2c377dc7202fd3a80d2a3558b0976495725dd62fb0d0
2026-09-24T05:02:43Z	4	140	15	2	40	1.49	601	0x4d7e7672e9bc4fd5b5cb5d1fb4cf6bd57bc631adcc54a9d622afceb4f85c153d
2026-09-24T05:33:14Z	4	140	15	2	40	0.51	628	0xea6cb6f1f550f809c2de845684978f7b72ca2c9f656aa608573828f895b5d35f
2026-09-24T06:33:08Z	4	140	15	2	40	1.00	617	0x0193b60037741fcd1013b377f0ec3d9e316a1e38e22bed4614ff3de9a692e675
2026-09-24T07:33:05Z	4	140	15	2	40	1.00	602	0x82c7ac2a008c6959e40bf8c49d2f07363246714976178d1b5ef1dfea9e629f09
2026-09-24T08:22:11Z	4	140	15	2	40	0.82	0	0x3cb8c3a0d44e820c320d7a866428519f510bc75f54bbe65050ba387106ea125c
2026-09-24T14:10:36Z	4	140	14	1	40	5.81	603	0x13c9af65da1e3d354d2c6d116701c7cbda434cae9898398289c8246e74385bfb
2026-09-24T19:04:48Z	4	140	16	0	40	4.90	616	0xcf48d673395f26651831f1be25d138490dbd82487ca6ec367d9f21acd3d1e795
2026-09-24T19:06:58Z	4	140	16	0	40	0.04	587	0x90c3b882341dfd672ef994c9e16ea260ca446a3d662ca4792f73db169febb7ba
2026-09-24T22:19:07Z	4	140	16	1	40	3.20	588	0x6dd90ea5945018f10a76b0c766700d28429750f8df639e327101a35b570f5041
2026-09-25T01:25:50Z	4	140	15	1	40	3.11	567	0x779688c79ce2cde910dc15ab2372556c4236a60d2fc39486fe740b3003138653
2026-09-25T07:41:57Z	4	140	16	1	40	6.27	618	0x038b7697b991cec088a9d7aa4f599313d6914e9a5acb985f17cb0394e9457b3c
2026-09-25T13:40:53Z	4	140	16	1	40	5.98	598	0x71735cd43ab54678cbe72e7ef0d9945a61328eca8d2285c1f18bd916d285489d
2026-09-25T18:31:53Z	4	140	16	1	40	4.85	0	0xe38043c5f8750a6ebf238ae065302d5a496e652efce860fbcc4a591f5f49c91d
2026-09-25T22:15:14Z	4	140	17	1	40	3.72	590	0x89dc3cc0ba311da27cafa5053e61f39252d6acce1c07db1b7d7e8469a95ee1b9
